0 0
0.555556 0
1.111111 0
1.666667 0
2.222222 0
2.777778 0
3.333333 0
3.888889 0
4.444444 0
5 0
0 0.111111
0.555556 0.111111
1.111111 0.111111
1.666667 0.111111
2.222222 0.111111
2.777778 0.111111
3.333333 0.111111
3.888889 0.111111
4.444444 0.111111
5 0.111111
0 0.222222
0.555556 0.222222
1.111111 0.222222
1.666667 0.222222
2.222222 0.222222
2.777778 0.222222
3.333333 0.222222
3.888889 0.222222
4.444444 0.222222
5 0.222222
0 0.333333
0.555556 0.333333
1.111111 0.333333
1.666667 0.333333
2.222222 0.333333
2.777778 0.333333
3.333333 0.333333
3.888889 0.333333
4.444444 0.333333
5 0.333333
0 0.444444
0.555556 0.444444
1.111111 0.444444
1.666667 0.444444
2.222222 0.444444
2.777778 0.444444
3.333333 0.444444
3.888889 0.444444
4.444444 0.444444
5 0.444444
0 0.555556
0.555556 0.555556
1.111111 0.555556
1.666667 0.555556
2.222222 0.555556
2.777778 0.555556
3.333333 0.555556
3.888889 0.555556
4.444444 0.555556
5 0.555556
0 0.666667
0.555556 0.666667
1.111111 0.666667
1.666667 0.666667
2.222222 0.666667
2.777778 0.666667
3.333333 0.666667
3.888889 0.666667
4.444444 0.666667
5 0.666667
0 0.777778
0.555556 0.777778
1.111111 0.777778
1.666667 0.777778
2.222222 0.777778
2.777778 0.777778
3.333333 0.777778
3.888889 0.777778
4.444444 0.777778
5 0.777778
0 0.888889
0.555556 0.888889
1.111111 0.888889
1.666667 0.888889
2.222222 0.888889
2.777778 0.888889
3.333333 0.888889
3.888889 0.888889
4.444444 0.888889
5 0.888889
0 1
0.555556 1
1.111111 1
1.666667 1
2.222222 1
2.777778 1
3.333333 1
3.888889 1
4.444444 1
5 1
