0 0 1
0.555556 0 0.888888799999997
1.111111 0 0.777777799999991
1.666667 0 0.666666599999988
2.222222 0 0.55555559999999
2.777778 0 0.444444399999994
3.333333 0 0.333333399999999
3.888889 0 0.222222199999995
4.444444 0 0.111111199999996
5 0 -6.8695058808021e-16
0 0.111111 1
0.555556 0.111111 0.888888799999997
1.111111 0.111111 0.777777799999991
1.666667 0.111111 0.666666599999989
2.222222 0.111111 0.55555559999999
2.777778 0.111111 0.444444399999994
3.333333 0.111111 0.333333399999999
3.888889 0.111111 0.222222199999995
4.444444 0.111111 0.111111199999996
5 0.111111 5.898057667264e-17
0 0.222222 0.999999999999998
0.555556 0.222222 0.888888799999996
1.111111 0.222222 0.777777799999992
1.666667 0.222222 0.66666659999999
2.222222 0.222222 0.55555559999999
2.777778 0.222222 0.444444399999996
3.333333 0.222222 0.333333399999998
3.888889 0.222222 0.222222199999996
4.444444 0.222222 0.111111199999996
5 0.222222 6.31824879568357e-16
0 0.333333 1
0.555556 0.333333 0.888888799999996
1.111111 0.333333 0.777777799999992
1.666667 0.333333 0.66666659999999
2.222222 0.333333 0.55555559999999
2.777778 0.333333 0.444444399999996
3.333333 0.333333 0.333333399999997
3.888889 0.333333 0.222222199999997
4.444444 0.333333 0.111111199999997
5 0.333333 6.43775213693439e-17
0 0.444444 1
0.555556 0.444444 0.888888799999994
1.111111 0.444444 0.777777799999992
1.666667 0.444444 0.666666599999989
2.222222 0.444444 0.555555599999991
2.777778 0.444444 0.444444399999995
3.333333 0.444444 0.333333399999997
3.888889 0.444444 0.222222199999997
4.444444 0.444444 0.111111199999997
5 0.444444 -3.12972839701745e-17
0 0.555556 1
0.555556 0.555556 0.888888799999994
1.111111 0.555556 0.777777799999993
1.666667 0.555556 0.666666599999989
2.222222 0.555556 0.555555599999991
2.777778 0.555556 0.444444399999995
3.333333 0.555556 0.333333399999997
3.888889 0.555556 0.222222199999997
4.444444 0.555556 0.111111199999998
5 0.555556 -5.79205055445334e-17
0 0.666667 1
0.555556 0.666667 0.888888799999993
1.111111 0.666667 0.777777799999992
1.666667 0.666667 0.666666599999989
2.222222 0.666667 0.555555599999991
2.777778 0.666667 0.444444399999995
3.333333 0.666667 0.333333399999997
3.888889 0.666667 0.222222199999998
4.444444 0.666667 0.111111199999998
5 0.666667 0
0 0.777778 1
0.555556 0.777778 0.888888799999993
1.111111 0.777778 0.777777799999992
1.666667 0.777778 0.666666599999989
2.222222 0.777778 0.555555599999992
2.777778 0.777778 0.444444399999995
3.333333 0.777778 0.333333399999997
3.888889 0.777778 0.222222199999998
4.444444 0.777778 0.111111199999998
5 0.777778 0
0 0.888889 1
0.555556 0.888889 0.888888799999993
1.111111 0.888889 0.777777799999992
1.666667 0.888889 0.666666599999989
2.222222 0.888889 0.555555599999992
2.777778 0.888889 0.444444399999995
3.333333 0.888889 0.333333399999997
3.888889 0.888889 0.222222199999998
4.444444 0.888889 0.111111199999998
5 0.888889 0
0 1 1
0.555556 1 0.888888799999993
1.111111 1 0.777777799999993
1.666667 1 0.666666599999989
2.222222 1 0.555555599999992
2.777778 1 0.444444399999995
3.333333 1 0.333333399999997
3.888889 1 0.222222199999998
4.444444 1 0.111111199999998
5 1 0
